,Elevation,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Horizontal_Distance_To_Fire_Points
90597,2870,18,30,9,5531,184,206,830
92228,2419,34,108,47,674,113,187,926
54475,2895,5,212,44,2617,223,228,2658
83855,3115,17,1050,246,2754,195,204,1727
88573,3249,11,258,94,1443,191,227,2888
97220,3322,14,190,52,5704,186,224,757
95990,2997,20,192,45,1019,249,209,1129
15143,2978,8,162,-21,3746,201,232,1358
16831,2782,7,150,26,1868,231,230,1822
42708,3006,22,942,123,3051,243,232,1615
2540,2869,15,360,50,1578,230,208,2799
35792,2411,15,30,1,997,244,221,1142
20130,2753,15,30,4,424,240,237,2659
32621,3033,6,150,7,1072,228,230,2324
19261,2964,13,503,151,2866,206,212,1579
63186,2857,15,190,99,3837,237,239,5549
19732,3236,7,60,1,2605,230,239,1154
15822,3212,23,391,134,324,243,232,2951
33963,3136,14,342,98,272,239,215,1682
113083,2614,11,485,36,1471,220,215,1773
111941,3283,9,537,177,4320,198,244,1199
71676,3232,10,541,78,1342,237,229,2270
78704,3313,10,997,197,1593,206,221,2866
9410,3317,26,531,136,1554,250,219,1134
64827,3163,4,391,56,5396,219,243,451
39359,3249,8,644,35,1900,204,228,552
105143,2941,15,134,24,693,192,215,1884
92171,3287,3,0,0,4061,219,232,3740
52538,3222,34,67,33,2455,135,165,2831
68272,2959,10,960,193,2536,203,222,840
21794,3168,13,277,66,1302,203,213,342
85815,2738,7,335,35,2334,226,225,5643
43843,2388,13,242,97,1222,242,231,1041
38618,2715,8,30,6,1860,202,230,4248
40032,2529,8,390,159,967,205,228,1376
76947,2498,7,42,1,1749,223,244,859
74269,3126,16,95,20,3324,246,226,3144
37255,2741,17,210,51,1739,245,229,2316
87953,2834,10,242,33,1347,221,219,1998
28729,3041,5,150,14,6457,227,238,3029
33900,2514,9,30,5,990,232,224,1739
36518,3250,13,824,49,2045,196,218,601
59740,3135,6,60,7,4941,226,228,2764
90962,2656,24,0,0,1438,243,190,1050
79644,2988,11,124,19,3215,189,232,1972
24899,2521,21,277,78,927,237,195,1052
93193,3148,16,256,1,2535,179,247,466
7864,2668,23,240,57,2024,164,202,2475
57930,2744,13,120,29,1116,232,214,2225
17342,3407,7,616,174,2081,233,233,1583
8655,2926,12,190,33,4425,237,237,6322
13700,2965,6,573,69,6049,205,242,5873
107678,3205,7,541,92,3463,222,225,3486
78201,2580,20,192,52,918,195,254,1452
17917,3139,9,553,64,1784,207,223,2672
40410,3188,4,351,12,4832,209,241,2424
40810,3042,2,297,34,2605,217,235,947
38777,2155,25,30,13,1121,184,182,459
89868,3185,6,330,53,1062,211,245,1860
34791,2901,9,0,0,1365,231,223,2486
15736,2801,17,60,13,1224,209,203,2987
37364,3049,25,420,-19,1074,170,186,3399
63746,2315,14,395,172,1082,244,225,424
7123,3433,16,376,140,2362,207,203,2489
50923,3153,20,366,75,277,250,219,3747
90108,3198,12,190,14,95,187,238,1828
15284,2463,20,90,15,636,164,219,664
27966,2896,5,192,-3,4687,225,230,1606
95441,3201,15,180,26,3359,238,212,4643
59619,3237,15,671,30,1719,207,207,2792
46224,3168,6,351,16,5237,231,232,2619
39831,3116,13,459,57,630,230,214,1195
35134,2785,13,162,14,2830,213,212,2244
84043,3192,7,0,0,2248,227,226,942
109329,2744,8,60,13,2580,234,230,6557
72256,2720,12,67,-14,1565,233,216,1041
67245,2761,23,426,132,2576,251,217,2086
10443,3421,11,509,53,1924,189,232,551
6175,3139,4,242,25,5467,226,233,626
52507,2772,20,201,23,1215,233,195,2281
76633,3031,6,212,7,6207,230,230,3396
109557,2265,21,408,122,636,181,198,153
91622,3309,26,85,17,1115,153,193,1455
62510,3102,6,30,5,324,205,233,2121
115760,2587,11,201,42,642,217,217,992
51508,2931,2,0,0,5612,223,237,1539
46886,3011,23,677,142,2457,192,187,2105
75441,2846,11,60,22,2100,190,241,1092
2448,3197,0,240,36,1136,219,238,2028
49329,2952,9,390,46,5694,197,245,2424
23269,3033,14,362,66,616,183,226,571
21995,3144,9,108,8,2285,206,225,2629
37634,3019,6,30,5,1103,214,246,1803
89047,2919,7,30,0,2838,211,226,1140
78099,3218,5,485,36,4351,229,236,2663
77279,2898,23,127,58,180,234,186,1215
98576,2796,31,190,93,1635,151,248,1590
63511,2928,14,153,15,5101,187,249,1611
67039,3279,8,67,14,787,231,225,824
65400,2521,6,268,62,210,209,229,395
32690,2952,9,30,-6,4763,235,225,4797
111179,3028,13,127,24,2730,200,215,1034
64643,3288,21,624,194,3293,159,216,3483
8341,2968,7,576,72,6050,213,247,5916
58832,3147,12,361,66,1412,235,219,3360
86537,2926,16,120,23,5037,189,252,1524
93171,2870,6,551,96,3810,230,235,5909
70498,3194,17,270,55,2406,174,223,300
21397,3139,18,524,-9,5922,242,235,1383
106366,3098,18,153,40,3632,166,234,755
33347,2423,19,190,53,1120,229,245,1433
8776,2721,15,0,0,2214,180,228,362
102148,3175,10,270,33,3397,232,241,607
32670,2929,4,67,3,5076,225,233,3314
13943,2922,22,408,178,2881,198,254,1209
84155,2894,28,150,65,2393,182,253,2043
70401,2443,18,150,65,589,167,238,408
23176,2719,16,67,19,2175,191,212,6367
58275,2971,25,90,-4,2234,203,252,1847
71401,2475,12,212,23,607,195,223,1332
61133,2616,17,67,10,1273,214,200,1875
24694,3031,6,0,0,6672,224,228,3194
40808,3210,9,108,9,5597,218,248,1032
79583,3153,4,277,116,2250,226,237,1116
25326,2595,19,295,174,1776,194,254,543
56771,2687,22,127,49,2581,156,216,1206
23605,2673,18,60,15,1679,198,201,6386
85373,3105,15,330,-10,908,244,221,1205
